Title,SelectionPhase1,Authors,Journal,Year,Abstract,DOI,source,Research Areas,Author Keywords,DOIURL
Evaluating the Effectiveness of Graduated Stress Exposure in Virtual Spaceflight Hazard Training,Not Multi User,"Finseth, TT; Keren, M; Dorneich, MC; Franke, WD; Anderson, CC; Shelley, MC",JOURNAL OF COGNITIVE ENGINEERING AND DECISION MAKING,2018,"Psychological and physiological stress experienced by astronauts can pose risks to mission success. In clinical settings, gradually increasing stressors help patients develop resilience. It is unclear whether graduated stress exposure can affect responses to acute stressors during spaceflight. This study evaluated psychophysiological responses to potentially catastrophic spaceflight operation, with and without graduated stress exposure, using a virtual reality environment. Twenty healthy participants were tasked with locating a fire on a virtual International Space Station (VR-ISS). After orientation, the treatment group (n = 10) practiced searching for a fire while exposed to a low-level stressor (light smoke), while the control group (n = 10) practiced without smoke. In the testing session, both groups responded to a fire while the VR-ISS unexpectedly filled with heavy smoke. Heart rate variability and blood pressure were measured continuously. Subjective workload was evaluated with the NASA Task Load Index, stress with the Short Stress State Questionnaire, and stress exposure with time-to-complete. During the heavy smoke condition, the control group showed parasympathetic withdrawal, indicating a mild stress response. The treatment group retained parasympathetic control. Thus, graduated stress exposure may enhance allostasis and relaxation behavior when confronted with a subsequent stressful condition.",10.1177/1555343418775561,wos,Engineering; Psychology,psychophysiology; resilience; space; stress exposure training; stress inoculation; virtual environments,URI::(https://www.doi.org/10.1177/1555343418775561)
Evaluating the Effectiveness of a Codeveloped e-Mental Health Intervention for University Students: Protocol for a Randomized Controlled Trial,Other,"Wang, AY; Vereschagin, M; Richardson, CG; Xie, H; Hudec, KL; Munthali, RJ; Munro, L; Leung, C; Kessler, RC; Vigo, DV; Psych, L",JMIR RESEARCH PROTOCOLS,2023,"Background: University life typically occurs during a period of life transition, where the incidence of mental health and substance use problems and disorders peaks. However, relatively few students obtain effective treatment and support. e-Interventions have proven effective in improving the psychological outcomes of university students and have the potential to provide scalable services that can easily integrate into existing models of care. Minder is a mobile app codeveloped with university students that offers users a collection of evidence-based interventions tailored to help university students maintain their mental health and well-being and manage their substance use.Objective: This paper describes the protocol for a randomized controlled trial (RCT) that aims to assess the effectiveness of the Minder app in improving the mental health and substance use outcomes of university students.Methods: This study is a 2-arm, parallel assignment, single-blinded, 30-day RCT with 1 intervention group and 1 waitlist control group. Overall, 1496 (748 per trial arm) university students from the University of British Columbia Vancouver Campus (N=54,000) who are aged & GE;17 years, have a smartphone with Wi-Fi or cellular data, and speak English will be recruited via a variety of web-based and offline strategies. Participants will be randomized into the intervention or control group after completing a baseline survey. Those randomized into the intervention group will gain immediate access to the Minder app and will be assessed at 2 weeks and 30 days. Those randomized into the control group will be given access to the app content after their follow-up assessment at 30 days. The primary outcomes are measured from baseline to follow-up at 30 days and include changes in general anxiety symptomology, depressive symptomology, and alcohol consumption risk measured by the General Anxiety Disorder 7-Item scale, Patient Health Questionnaire 9-Item scale, and US Alcohol Use Disorders Identification Test-Consumption Scale, respectively. Secondary outcomes include measures related to changes in the frequency of substance use, mental well-being, self-efficacy in managing mental health and substance use, readiness to change, and self-reported use of mental health services and supports (including referral) from baseline to follow-up at 30 days.Results: Trial recruitment and data collection began in September 2022, and the completion of data collection for the trial is anticipated by June 2023. As of May 10, 2023, a total of 1425 participants have been enrolled.Conclusions: The RCT described in this protocol paper will assess whether the Minder app is effective in improving the mental health and substance use outcomes of a general population of Canadian university students. Additional secondary outcome research aims to explore additional outcomes of interest for further research and better understand how to support students' general mental well-being.",10.2196/49364,"pubmed, wos","Health Care Sciences & Services; Public, Environmental & Occupational Health",mental health; substance use; college students; digital interventions; randomized controlled trial; mobile phone,URI::(https://www.doi.org/10.2196/49364)
Evaluating the Effectiveness of the Supportive Parenting App on Parental Outcomes: Randomized Controlled Trial,Good,"Shorey, S; Law, E; Thilagamangai, M; Mathews, J; Lim, SH; Shi, LM; Chua, JS; Du, RC; Chan, YH; Tan, TC; Chee, C; Chong, YS",JOURNAL OF MEDICAL INTERNET RESEARCH,2023,"Background: Adjusting to new or additional parenting responsibilities increases stress and affects parental well-being. Existing research has highlighted both parents' desire to receive more support. It has also been found that receiving sufficient social support enhances parenting outcomes. With the increasing popularity of mobile health apps, a Supportive Parenting App (SPA) intervention was developed to fulfill the support needs of parents during the perinatal period. Objective: This study aimed to examine the effectiveness of the SPA on parental outcomes during the perinatal period. Methods: A 2-group pretest and repeated posttest randomized controlled trial was conducted wherein 200 couples (N=400 mothers and fathers) were recruited from 2 public health care institutions in Singapore. Parents were randomly assigned to intervention (100/200, 50%) or control (100/200, 50%) groups. The SPA intervention consisted of a mobile app-based psychoeducation and peer support program to support parents from pregnancy to 6 months post partum. The outcome measures included postnatal depression, anxiety, parental bonding, parental self-efficacy, perceived social support, and parenting satisfaction. Data were collected at baseline (at >24 weeks of gestation-age of viability in Singapore) and at the first, second, fourth, sixth, ninth, and 12th month post partum. Linear mixed models were used to compare parental outcomes between the groups, and a linear mixed model for repeated measures was used to examine within-group changes. Results: Parents in the intervention group mostly showed better outcomes compared with those in the control group. Parents in the intervention group had higher perceived social support than those in the control group at the first (effect size=1.59, 95% CI 0.38-2.80; Cohen standardized effect size=1.31; P=.01), second (effect size=1.98, 95% CI 1.09-2.88; Cohen standardized effect size=2.21; P=.003), and fourth (effect size=2.57, 95% CI 1.62-3.51; Cohen standardized effect size=2.72; P=.048) months post partum. However, parents in the intervention group showed significantly poorer parental bonding (effect size=1.67, 95% CI 0.24-3.11; Cohen standardized effect size=1.16; P=.02). The other parental outcomes did not differ significantly between groups. The scores of mothers and fathers also differed significantly for all outcomes except parental self-efficacy. Conclusions: Parents in the intervention group generally fared better, especially regarding perceived social support. However, the lack of statistical significance in most outcomes showed the limited effectiveness of the SPA intervention, which may be because of the COVID-19 pandemic. Parental differences in outcome scores suggest that mothers and fathers have different support needs; therefore, interventions should be tailored accordingly. Further improvements and evaluations are needed to examine the effectiveness of the SPA intervention in enhancing parental outcomes. Despite statistically insignificant results, limitations should be considered to further improve mobile health app-based interventions such as SPA, as they could serve as reliable and convenient sources of support for parents.",10.2196/41859,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,postnatal depression; mobile health technology; social support; COVID-19; psychoeducation; peer support; mobile phone,URI::(https://www.doi.org/10.2196/41859)
Evaluating the Effects of the Supportive Parenting App on Infant Developmental Outcomes: Longitudinal Study,Not mental health,"Shorey, S; Chong, YS; Shi, LM; Chua, JS; Thilagamangai; Mathews, J; Lim, SH; Du, RC; Chan, YH; Tan, TC; Chee, C; Law, E",JMIR MHEALTH AND UHEALTH,2023,"Background: Previous studies have investigated the various effects of parenting on infant developmental outcomes. In particular, parental stress and social support have been found to significantly affect the growth of the newborn. Although many parents today use mobile apps to obtain more support in parenting and perinatal care, few studies have examined how these apps could affect infant development.Objective: This study aimed to examine the effectiveness of the Supportive Parenting App (SPA) in improving infant developmental outcomes during the perinatal period. Methods: This study adopted a 2-group parallel prospective longitudinal design and recruited 200 infants and their parents (N=400 mothers and fathers). The parents were recruited at 24 weeks of gestation for a randomized controlled trial conducted from February 2020 to July 2022. They were randomly allocated to either the intervention or control group. The infant outcome measures included cognition, language, motor skills, and social-emotional development. Data were collected from the infants when they were aged 2, 4, 6, 9, and 12 months. Linear and modified Poisson regressions were used to analyze the data to examine between-and within-group changes. Results: At 9 and 12 months post partum, the infants in the intervention group were found to have better communication and language skills than those in the control group. An analysis of motor development revealed that a larger proportion of the infants in the control group fell under the at-risk category, where they scored approximately 2 SDs below the normative scores. The control group infants scored higher on the problem solving domain at 6 months post partum. However, at 12 months postpartum, the infants in the intervention group performed better on cognitive tasks than those in the control group. Despite not being statistically significant, the intervention group infants were found to have consistently scored better on the social components of the questionnaires than the control group infants.Conclusions: Overall, the infants whose parents had received the SPA intervention tended to fare better in most developmental outcome measures than those whose parents had received standard care only. The findings of this study suggest that the SPA intervention exerted positive effects on the communication, cognition, motor, and socioemotional development of the infants. Further research is needed to improve the content and support provided by the intervention to maximize the benefits gained by infants and their parents.",10.2196/43885,wos,Health Care Sciences & Services; Medical Informatics,infant development; parenting; mobile health technology; social support; psychoeducation; peer support; mobile phone,URI::(https://www.doi.org/10.2196/43885)
Evaluating the Efficacy of Internet-Delivered Cognitive Behavioral Therapy Blended With Synchronous Chat Sessions to Treat Adolescent Depression: Randomized Controlled Trial,Good,"Topooco, N; Byléhn, S; Nysäter, ED; Holmlund, J; Lindegaard, J; Johansson, S; Åberg, L; Nordgren, LB; Zetterqvist, M; Andersson, G",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Depression is a common and serious problem among adolescents, but few seek or have access to therapy. Internet-delivered cognitive behavioral therapies (ICBTs), developed to increase treatment access, show promise in reducing depression. The inclusion of coach support in treatment is desired and may be needed. Objective: The aim of this study was to determine the efficacy of an ICBT protocol blended with weekly real-time therapist sessions via chat; blended treatment, for adolescent depression, including major depressive episode (MDE). The protocol has previously been evaluated in a controlled study. Methods: In a two-arm randomized controlled trial, adolescents 15 to 19 years of age were recruited through a community setting at the national level in Sweden (n=70) and allocated to either 8 weeks of treatment or to minimal attention control. Depression was assessed at baseline, at posttreatment, and at 12 months following treatment (in the intervention group). The primary outcome was self-reported depression level as measured with the Beck Depression Inventory II at posttreatment. The intervention was offered without the need for parental consent. Results: Over two weeks, 162 adolescents registered and completed the baseline screening. Eligible participants (n=70) were on average 17.5 years of age (SD 1.15), female (96%, 67/70), suffered from MDE (76%, 53/70), had no previous treatment experience (64%, 45/70), and reported guardian(s) to be aware about their depression state (71%, 50/70). The average intervention completion was 74% (11.8 of 16 modules and sessions). Following the treatment, ICBT participants demonstrated a significant decrease in depression symptoms compared with controls (P<.001), corresponding to a large between-group effect (intention-to-treat analysis: d=0.86, 95% CI 0.37-1.35; of completer analysis: d=0.99, 95% CI 0.48-1.51). A significant between-group effect was observed in the secondary depression outcome (P=.003); clinically significant improvement was found in 46% (16/35) of ICBT participants compared with 11% (4/35) in the control group (P=.001). Conclusions: The results are in line with our previous study, further demonstrating that adolescents with depression can successfully be engaged in and experience significant improvement following ICBT blended with therapist chat sessions. Findings on participants' age and baseline depression severity are of interest in relation to used study methods.",10.2196/13393,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,adolescent; depression; cognitive behavioral therapy; randomized controlled trial; internet; digital health; technology; mental health; text messaging; instant messaging,URI::(https://www.doi.org/10.2196/13393)
"Evaluating the Feasibility, Acceptability, and Preliminary Efficacy of SupportMoms-Uganda, an mHealth-Based Patient-Centered Social Support Intervention to Improve the Use of Maternity Services Among Pregnant Women in Rural Southwestern Uganda: Randomized Controlled Trial",Other,"Atukunda, EC; Siedner, MJ; Obua, C; Musiimenta, A; Ware, NC; Mugisha, S; Najjuma, JN; Mugyenyi, GR; Matthews, L",JMIR FORMATIVE RESEARCH,2023,"Background: SMS text messaging and other mobile health (mHealth) interventions may improve knowledge transfer, strengthen access to social support (SS), and promote positive health behaviors among women in the perinatal period. However, few mHealth apps have been taken to scale in sub-Saharan Africa. Objective: We evaluated the feasibility, acceptability, and preliminary efficacy of a novel, mHealth-based, and patient-centered messaging app designed using behavioral science frameworks to promote maternity service use among pregnant women in Uganda. Methods: We performed a pilot randomized controlled trial between August 2020 and May 2021 at a referral hospital in Southwestern Uganda. We included 120 adult pregnant women enrolled in a 1:1:1 ratio to receive routine antenatal care (ANC; control), scheduled SMS text or audio messages from a novel messaging prototype (scheduled messaging [SM]), and SM plus SMS text messaging reminders to 2 participant-identified social supporters (SS). Participants completed face-to-face surveys at enrollment and in the postpartum period. The primary outcomes were feasibility and acceptability of the messaging prototype. Other outcomes included ANC attendance, skilled delivery, and SS. We conducted qualitative exit interviews with 15 women from each intervention arm to explore the intervention mechanisms. Quantitative and qualitative data were analyzed using STATA and NVivo, respectively. Results: More than 85% and 75% of participants received >= 85% of the intended SMS text messages or voice calls, respectively. More than 85% of the intended messages were received within 1 hour of the expected time; 18% (7/40) of women experienced network issues for both intervention groups. Over 90% (36/40) of the intervention participants found this app useful, easy to use, engaging, and compatible and strongly recommended it to others; 70% (28/40), 78% (31/40), and 98% (39/40; P=.04) of women in the control, SM, and SS arms, respectively, had a skilled delivery. Half (20/40), 83% (33/40), and all (40/40; P=.001) of the women in the control, SM, and SS arms attended >= 4 ANC visits, respectively. Women in the SS arm reported the highest support (median 3.4, IQR 2.8-3.6; P=.02); <20% (8/40; P=.002) missed any scheduled ANC visit owing to lack of transportation.Qualitative data showed that women liked the app; they were able to comprehend ANC and skilled delivery benefits and easily share and discuss tailored information with their significant others, who in turn committed to providing them the needed support to prepare and seek help. Conclusions: We demonstrated that developing a novel patient-centered and tailored messaging app that leverages SS networks and relationships is a feasible, acceptable, and useful approach to communicate important targeted health-related information and support pregnant women in rural Southwestern Uganda to use available maternity care services. Further evaluation of maternal-fetal outcomes and integration of this intervention into routine care is needed.",10.2196/36619,wos,Health Care Sciences & Services; Medical Informatics,mobile health app; mHealth app; feasibility and acceptability; messaging; health education; health promotion; app development; mobile phone,URI::(https://www.doi.org/10.2196/36619)
Evaluating the effect and mechanism of upper limb motor function recovery induced by immersive virtual-reality-based rehabilitation for subacute stroke subjects: study protocol for a randomized controlled trial,Not mental health,"Huang, QQ; Wu, W; Chen, XL; Wu, B; Wu, LQ; Huang, XL; Jiang, SH; Huang, LJ",TRIALS,2019,"BackgroundThere is compelling evidence of beneficial effects of non-immersive virtual reality (VR)-based intervention in the rehabilitation of patients with stroke, whereby patients experience both the real world and the virtual environment. However, to date, research on immersive VR-based rehabilitation is minimal. This study aims to design a randomized controlled trial to assess the effectiveness of immersive VR-based upper extremity rehabilitation in patients with subacute stroke and explore the underlying brain mechanisms of immersive VR-based rehabilitation.MethodsSubjects (n = 60) with subacute stroke (defined as more than 1week and less than 12weeks after stroke onset) will be recruited to participate in a single-blinded, randomized controlled trial. Subjects will be randomized 1:1 to either (1) an experimental intervention group, or (2) a conventional group (control). Over a 3-week time period immediately following baseline assessments and randomization, subjects in the experimental group will receive both immersive VR and conventional rehabilitation, while those in the control group will receive conventional rehabilitation only. During the rehabilitation period and over the following 12weeks, upper extremity function, cognitive function, mental status, and daily living activity performance will be evaluated in the form of questionnaires. To trace brain reorganization in which upper extremity functions previously performed by ischemic-related brain areas are assumed by other brain areas, subjects will have brain scans immediately following enrollment but before randomization, immediately following the conclusion of rehabilitation, and 12weeks after rehabilitation has concluded.DiscussionEffectiveness is assessed by evaluating motor improvement using the arm motor section of the Fugl-Meyer assessment. The study utilizes a cutting-edge brain neuroimaging approach to longitudinally trace the effectiveness of both VR-based and conventional training on stroke rehabilitation, which will hopefully describe the effects of the brain mechanisms of the intervention on recovery from stroke. Findings from the trial will greatly contribute to evidence on the use of immersive-VR-based training for stroke rehabilitation.Trial registrationClinicalTrials.gov, NCT03086889. Registered on March 22, 2017.",10.1186/s13063-019-3177-y,"pubmed, wos",Research & Experimental Medicine,Immersive virtual reality training; Stroke; Upper extremity; Magnetic resonance imaging; Randomized controlled trial; Brain mechanism,URI::(https://www.doi.org/10.1186/s13063-019-3177-y)
"Evaluating the effect of a digital health intervention to enhance physical activity in people with chronic kidney disease (Kidney BEAM): a multicentre, randomised controlled trial in the UK",Not Multi User,"Greenwood, SA; Young, HML; Briggs, J; Castle, EM; Walklin, C; Haggis, L; Balkin, C; Asgari, E; Bhandari, S; Burton, JO; Billany, RE; Bishop, NC; Bramham, K; Campbell, J; Chilcot, J; Cooper, NJ; Deelchand, V; Graham-Brown, MPM; Hamilton, A; Jesky, M; Kalra, PA; Koufaki, P; McCafferty, K; Nixon, AC; Noble, H; Saynor, Z; Taal, MW; Tollit, J; Wheeler, DC; Wilkinson, TJ; Worboys, H; Macdonald, J",LANCET DIGITAL HEALTH,2024,"Background Remote digital health interventions to enhance physical activity provide a potential solution to improve the sedentary behaviour, physical inactivity, and poor health-related quality of life that are typical of chronic conditions, particularly for people with chronic kidney disease. However, there is a need for high-quality evidence to support implementation in clinical practice. The Kidney BEAM trial evaluated the clinical effect of a 12-week physical activity digital health intervention on health-related quality of life.Methods In a single-blind, randomised controlled trial conducted at 11 centres in the UK, adult participants (aged >= 18 years) with chronic kidney disease were recruited and randomly assigned (1:1) to the Kidney BEAM physical activity digital health intervention or a waiting list control group. Randomisation was performed with a web-based system, in randomly permuted blocks of six. Outcome assessors were masked to treatment allocation. The primary outcome was the difference in the Kidney Disease Quality of Life Short Form version 1.3 Mental Component Summary (KDQoL-SF1.3 MCS) between baseline and 12 weeks. The trial was powered to detect a clinically meaningful difference of 3 arbitrary units (AU) in KDQoL-SF1.3 MCS. Outcomes were analysed by an intention-to-treat approach using an analysis of covariance model, with baseline measures and age as covariates. The trial was registered with ClinicalTrials.gov, NCT04872933.Findings Between May 6, 2021, and Oct 30, 2022, 1102 individuals were assessed for eligibility, of whom 340 participants were enrolled and randomly assigned to the Kidney BEAM intervention group (n=173) or the waiting list control group (n=167). 268 participants completed the trial (112 in the Kidney BEAM group and 156 in the waiting list control group). All 340 randomly assigned participants were included in the intention-to treat population. At 12 weeks, there was a significant improvement in KDQoL-SF.13 MCS score in the Kidney BEAM group (from mean 446 AU [SD 108] at baseline to 470 AU [106] at 12 weeks) compared with the waiting list control group (from 461 AU [105] to 450 AU [101]; between-group difference of 31 AU [95% CI 18-44]; p<00001).Interpretation The Kidney BEAM physical activity platform is an efficacious digital health intervention to improve mental health-related quality of life in patients with chronic kidney disease. These findings could facilitate the incorporation of remote digital health interventions into clinical practice and offer a potential intervention worthy of investigation in other chronic conditions.(c) 2023 The Author(s). Published by Elsevier Ltd.",10.1016/S2589-7500(23)00204-2,"pubmed, wos",Medical Informatics; General & Internal Medicine,NA,URI::(https://www.doi.org/10.1016/S2589-7500(23)00204-2)
"Evaluating the effectiveness and cost-effectiveness of a digital, app-based intervention for depression (VMood) in community-based settings in Vietnam: Protocol for a stepped-wedge randomized controlled trial",Other,"Chau, LW; Murphy, JK; Nguyen, VC; Xie, H; Lam, RW; Minas, H; Zheng, YF; Krebs, E; Hayashi, K; Dao, S; Nguyen, X; Duong, VA; Fiume, E; O'Neil, J",PLOS ONE,2023,"The COVID-19 pandemic has amplified mental health problems and highlighted inequitable gaps in care worldwide. In response there has been an explosion of digital interventions such as smartphone applications (apps) to extend care. The objective of this trial is to evaluate the effectiveness and cost-effectiveness of a digital depression intervention (VMood), delivered via a smartphone app. VMood is adapted from an in-person intervention that was delivered by non-specialist providers and shown to be effective in the Vietnamese context in our previous trial (2016-2019). A stepped-wedge, randomized controlled trial will be conducted across eight provinces in Vietnam. Adults aged 18 years and over will be recruited through community-based primary care centres and screened for depression using the embedded Patient Health Questionnaire-9 (primary outcome measure). Participants scoring 10-19, indicating depression caseness, will be randomly allocated to the intervention or control group until the target of 336 is reached. Secondary outcome measures will examine the effect of the intervention on commonly co-occuring anxiety, quality of life and work productivity, along with use of alcohol and tobacco products. Assessments will be administered through an online survey platform (REDCap) at baseline, and at every 3 months until 3 months post-intervention. Intervention-group participants will receive VMood for a 3-month period, with online support provided by social workers. Control-group participants will receive a limited version of the app until they cross into the intervention group. Generalized Linear Mixed-effect Models for clustered measures will be used for all outcomes data. We will conduct a cost-effectiveness analysis alongside the trial to capture VMood's costs and benefits. This trial will provide evidence on the effectiveness and cost-effectiveness of a digital mental health intervention adapted from an in-person intervention. This trial will also contribute important information to the growing and promising field of digital mental health.Trail regulation. Registered at ClinicalTrials.gov, identifier [NCT05783531].",10.1371/journal.pone.0290328,"pubmed, wos",Science & Technology - Other Topics,NA,URI::(https://www.doi.org/10.1371/journal.pone.0290328)
Evaluating the effects of gratitude interventions on college student well-being,Not Multi User,"Tolcher, K; Cauble, M; Downs, A",JOURNAL OF AMERICAN COLLEGE HEALTH,2022,"Objective: To evaluate the effects of three different gratitude interventions on college student well-being. Participants: Participants were 132 college students at a university in the northwest sampled between September 2019 and February 2020. Methods: Participants were randomly assigned to one of three gratitude interventions (journaling, reflection, app prompted reflection) or an activity-matched control group for 8 weeks and completed baseline and post-intervention assessments of well-being (e.g., satisfaction with life, happiness, resilience, depression, anxiety, and stress). Results: Participants in all three gratitude intervention groups showed improvements in well-being over time, whereas the control group did not report any such improvements. Gratitude journaling appeared to have the most significant positive impact on well-being and affective functioning. Conclusions: Gratitude interventions are simple, easy to implement, low-cost tools that can increase overall well-being and decrease negative affect, stress, and anxiety in college students.",10.1080/07448481.2022.2076096,"pubmed, wos","Education & Educational Research; Public, Environmental & Occupational Health",Gratitude; intervention; negative affect; stress; well-being,URI::(https://www.doi.org/10.1080/07448481.2022.2076096)
"Evaluating the impact of a sleep health education and a personalised smartphone application on sleep, productivity and healthcare utilisation among employees: results of a randomised clinical trial",Not Multi User,"Robbins, R; Weaver, MD; Quan, SF; Sullivan, JP; Qadri, S; Glasner, L; Cohen-Zion, M; Czeisler, CA; Barger, LK",BMJ OPEN,2022,"Objectives We evaluated an online Sleep Health and Wellness (SHAW) programme paired with dayzz, a personalised sleep training programme deployed via smartphone application (dayzz app) that promotes healthy sleep and treatment for sleep disorders, among employees at a large healthcare organisation. Design Open-label, randomised, parallel-group controlled trial. Setting A healthcare employer in the USA. Participants 1355 daytime workers. Intervention Participants were randomised to intervention (n=794) or control (n=561) on consent. Intervention participants received the SHAW educational programme at baseline plus access to the personalised dayzz app for up to 9 months. The control condition received the intervention at month 10. Primary and secondary outcome measures Our primary outcome measures were sleep-related behavioural changes (eg, consistent sleep schedule); sleep behaviour tracked on an electronic sleep diary and sleep quality. Our secondary outcome measures included employee absenteeism, performance and productivity; stress, mood, alertness and energy; and adverse health and safety outcomes (eg, accidents). Results At follow-up, employees in the intervention condition were more likely to report increased sleep duration on work (7.20 vs 6.99, p=0.01) and on free (8.26 vs 8.04, p=0.03) nights. At follow-up, the prevalence of poor sleep quality was lower in the intervention (n=160 of 321, 50%) compared with control (n=184 of 327, 56%) (p=0.04). The mean total dollars lost per person per month due to reduced workplace performance (presenteeism) was less in the intervention condition (US$1090 vs US$1321, p=0.001). Employees in the intervention reported fewer mental health visits (RR 0.72, 95% CI 0.56 to 0.94, p=0.01) and lower healthcare utilisation over the study interval (RR 0.81, 95% CI 0.67 to 0.98, p=0.03). We did not observe differences in stress (4.7 (95% CI 4.6 to 4.8) vs 4.7 (95% CI 4.6 to 4.8)), mood (4.5 (95% CI 4.4 to 4.6) vs 4.6 (95% CI 4.5 to 4.7)), alertness (4.9 (95% CI 4.8 to 5.0) vs 5.0 (95% CI 4.9 to 5.1)) or adverse health and safety outcomes (motor vehicle crashes: OR 0.82 (95% CI 0.34 to 1.9); near-miss crashes: OR=0.89 (95% CI 0.5 to 1.5) and injuries: 0.9 (95% CI 0.6 to 1.3)); energy was higher at followup in the intervention group (4.3 vs 4.5; p=0.03). Conclusions Results from this trial demonstrate that a SHAW programme followed by access to the digital dayzz app can be beneficial to both the employee and employer.",10.1136/bmjopen-2022-062121,"pubmed, wos",General & Internal Medicine,NA,URI::(https://www.doi.org/10.1136/bmjopen-2022-062121)
Evaluating the impact of motivational interviewing on engagement and outcomes in a web-based self-help intervention for gambling disorder: A randomised controlled trial,Not Multi User,"Brazeau, BW; Cunningham, JA; Hodgins, DC",INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,2024,"Background: Self-paced internet interventions for gambling problems offer cost-effective, accessible, and private alternatives to traditional psychotherapy for a population that rarely seeks help. However, these interventions have been relatively slow to develop, evaluate, and deploy at scale relative to those for other addictive behaviors. Moreover, user engagement remains low despite the high interest. Motivational interviews have improved the effectiveness gambling bibliotherapy but have not been augmented with an analogous web-based self-guided program. Objectives: This trial aimed to replicate and extend prior work by translating a paperback workbook to the internet and pairing it with a single motivational interview. It was hypothesized that the motivational interview would enhance program engagement and gambling outcomes. Methods: A two-arm randomised controlled trial was conducted. Treatment-seeking Canadian adults recruited solely via social media received one year of access to a web-based self-guided program, either alone (N = 158) or in combination with a virtual motivational interview completed upon enrolment (N = 155). The program was based on principles of cognitive-behavioral therapy and motivational interviewing. Gambling severity, expenditures, frequency, and duration were assessed via online questionnaires at baseline and 3-, 6-, and 12-months post-baseline, along with secondary outcomes (i.e., depression, anxiety, nonspecific psychological distress, alcohol consumption). Results: Baseline characteristics were indicative of severe gambling problems and concurrent mental health problems but not problematic alcohol consumption in this sample. Both treatment groups demonstrated roughly equal improvements across all gambling outcomes and most secondary outcomes over time, except alcohol consumption, which did not meaningfully change. Changes were most prominent by 3 months, followed by more gradual change by 6 and 12 months. Only 57 % of gamblers who were assigned to receive a motivational interview completed that interview. About 40 % of users did not complete any program modules and 11 % completed all four. No group differences in program engagement were observed, although the number of modules completed was associated with greater reductions in gambling behaviors in both groups. Discussion: The problem of user engagement with web-based self-help programs remains. There is a dose-response relationship between engagement and outcomes when engagement is measured in terms of therapeutic content completed. Conclusions: The addition of a motivational interview to a web-based self-help program for gambling problems was unsuccessful in improving engagement or outcomes. Future work should aim to make self-guided programs more engaging rather than solely making users more engaged. Trial registration: Registered on 7 July 2020 (ISRCTN13009468).",10.1016/j.invent.2023.100707,"pubmed, wos",Psychology; Health Care Sciences & Services; Medical Informatics; Psychiatry,Self-help; Gambling disorder; Internet intervention; Randomised controlled trial; Motivational interviewing; User engagement,URI::(https://www.doi.org/10.1016/j.invent.2023.100707)
Evaluation of Mothers' Perceptions of a Technology-Based Supportive Educational Parenting Program (Part 2): Qualitative Study,Not Multi User,"Shorey, S; Ng, ED",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Transitioning into parenthood can be stressful as parents struggle to cope with new parenting responsibilities. Although perinatal care in hospitals aims to improve parental outcomes, there is a general consensus that it is suboptimal and insufficient. Therefore, many studies have designed intervention methods to supplement support for parents during this stressful period. However, studies often focus on parental outcomes as indicators of their interventions' success and effectiveness. Studies evaluating participants' experiences and feedback are limited. Objective: This study aimed to examine the experiences and perceptions of participants who participated in a supportive education parenting program intervention study. Methods: A qualitative semistructured interview was conducted with 16 mothers (6 control and 10 intervention) from a randomized controlled trial. The supportive education parenting program received by the intervention group included 2 phone-based perinatal educational sessions, a phone-based educational session after childbirth, and a 1-month postpartum access to a mobile health app. The interviews were approximately 30-to 60-min long, audiotaped and transcribed verbatim, and analyzed using thematic analysis. Study findings were reported according to the Consolidated Criteria for Reporting Qualitative Research checklist. Results: The 3 main themes evaluating mothers' experiences and perceptions were generated: (1) changed perspective toward parenthood, (2) journey from pregnancy to after birth, and (3) a way forward. Mothers from the intervention group mostly had good perinatal experiences with sufficient support received, which elevated their emotional well-being and increased parenting involvement. Mothers in the control group, although satisfied with the hospital care received, were more stressed and shared a need for professional advice and extra support. Apart from technical enhancements, mothers also requested extended social support during early pregnancy up to 1 year postpartum, taking into consideration Asian cultural practices. Conclusions: Mothers who received the intervention were overall satisfied with the support provided by the technology-based supportive educational parenting program. The success of the educational program in this study highlights the need to supplement standard care in hospitals with technology-based educational programs. Future research should include fathers' perceptions to attain an in-depth understanding of overall participants' experiences and needs in the future development of supportive and educational programs.",10.2196/11065,wos,Health Care Sciences & Services; Medical Informatics,education; mothers; parenting; technology,URI::(https://www.doi.org/10.2196/11065)
