Title,Authors,Journal,Year,Abstract,DOI,Research Areas,Author Keywords,FinalGoodSum,FinalAnswered,AgreementFinalGood,Multi user technology,Hardware,How many people,Professional/Peer
Online remote behavioural intervention for tics in 9-to 17-year-olds: the ORBIT RCT with embedded process and economic evaluation,"Hollis, C; Hall, CL; Khan, K; Le Novere, M; Marston, L; Jones, R; Hunter, R; Brown, BJ; Sanderson, C; Andrén, P; Bennett, S; Chamberlain, LR; Davies, B; Evans, A; Kouzoupi, N; Mckenzie, C; Heyman, I; Kilgariff, J; Glazebrook, C; Mataix-Cols, D; Serlachius, E; Murray, E; Murphy, T",HEALTH TECHNOLOGY ASSESSMENT,2023,"Background: Behavioural therapy for tics is difficult to access, and little is known about its effectiveness when delivered online.Objective: To investigate the clinical and cost-effectiveness of an online-delivered, therapist- and parent-supported therapy for young people with tic disorders.Design: Single-blind, parallel-group, randomised controlled trial, with 3-month (primary end point) and 6-month post-randomisation follow-up. Participants were individually randomised (1 : 1), using on online system, with block randomisations, stratified by site. Naturalistic follow-up was conducted at 12 and 18 months post-randomisation when participants were free to access non-trial interventions. A subset of participants participated in a process evaluation.Setting: Two hospitals (London and Nottingham) in England also accepting referrals from patient identification centres and online self-referrals.Participants: Children aged 9-17 years (1) with Tourette syndrome or chronic tic disorder, (2) with a Yale Global Tic Severity Scale-total tic severity score of 15 or more (or > 10 with only motor or vocal tics) and (3) having not received behavioural therapy for tics in the past 12 months or started/stopped medication for tics within the past 2 months.Interventions: Either 10 weeks of online, remotely delivered, therapist-supported exposure and response prevention therapy (intervention group) or online psychoeducation (control).Outcome: Primary outcome: Yale Global Tic Severity Scale-total tic severity score 3 months post-randomisation; analysis done in all randomised patients for whom data were available. Secondary outcomes included low mood, anxiety, treatment satisfaction and health resource use. Quality-adjusted life-years are derived from parent-completed quality-of-life measures. All trial staff, statisticians and the chief investigator were masked to group allocation.Results: Two hundred and twenty-four participants were randomised to the intervention (n = 112) or control (n = 112) group. Participants were mostly male (n = 177; 79%), with a mean age of 12 years. At 3 months the estimated mean difference in Yale Global Tic Severity Scale-total tic severity score between the groups adjusted for baseline and site was -2.29 points (95% confidence interval -3.86 to -0.71) in favour of therapy (effect size -0.31, 95% confidence interval -0.52 to -0.10). This effect was sustained throughout to the final follow-up at 18 months (-2.01 points, 95% confidence interval -3.86 to -0.15; effect size -0.27, 95% confidence interval -0.52 to -0.02). At 18 months the mean incremental cost per participant of the intervention compared to the control was 662 pound (95% confidence interval -59 pound to 1384) pound, with a mean incremental quality-adjusted life-year of 0.040 (95% confidence interval -0.004 to 0.083) per participant. The mean incremental cost per quality-adjusted life-year gained was 16,708 pound. The intervention was acceptable and delivered with high fidelity. Parental engagement predicted child engagement and more positive clinical outcomes.Harms: Two serious, unrelated adverse events occurred in the control group.Limitations: We cannot separate the effects of digital online delivery and the therapy itself. The sample was predominately white and British, limiting generalisability. The design did not compare to face-to-face services.Conclusion: Online, therapist-supported behavioural therapy for young people with tic disorders is clinically and cost-effective in reducing tics, with durable benefits extending up to 18 months.",10.3310/CPMS3211,Health Care Sciences & Services,NA,3,4,0.75,Text,Monitor,"2,3+",Professional
A Mobile Education and Social Support Group Intervention for Improving Postpartum Health in Northern India: Development and Usability Study,"El Ayadi, AM; Duggal, M; Bagga, R; Singh, P; Kumar, V; Ahuja, A; Kankaria, A; Basavarajappa, DH; Kaur, J; Sharma, P; Gupta, S; Pendse, RS; Weil, L; Swendeman, D; Diamond-Smith, NG",JMIR FORMATIVE RESEARCH,2022,"Background: Structural and cultural barriers limit Indian women's access to adequate postnatal care and support despite their importance for maternal and neonatal health. Targeted postnatal education and support through a mobile health intervention may improve postnatal recovery, neonatal care practices, nutritional status, knowledge and care seeking, and mental health. Objective: We sought to understand the feasibility and acceptability of our first pilot phase, a flexible 6-week postnatal mobile health intervention delivered to 3 groups of women in Punjab, India, and adapt our intervention for our next pilot phase, which will formally assess intervention feasibility, acceptability, and preliminary efficacy. Methods: Our intervention prototype was designed to deliver culturally tailored educational programming via a provider-moderated, voice- and text-based group approach to connect new mothers with a social support group of other new mothers, increase their health-related communication with providers, and refer them to care needed. We targeted deployment using feature phones to include participants from diverse socioeconomic groups. We held moderated group calls weekly, disseminated educational audios, and created SMS text messaging groups. We varied content delivery, group discussion participation, and chat moderation. Three groups of postpartum women from Punjab were recruited for the pilot through community health workers. Sociodemographic data were collected at baseline. Intervention feasibility and acceptability were assessed through weekly participant check-ins (N=29), weekly moderator reports, structured end-line in-depth interviews among a subgroup of participants (15/29, 52%), and back-end technology data. Results: The participants were aged 24 to 28 years and 1 to 3 months postpartum. Of the 29 participants, 17 (59%) had their own phones. Half of the participants (14/29, 48%) attended >= 3 of the 6 calls; the main barriers were childcare and household responsibilities and network or phone issues. Most participants were very satisfied with the intervention (16/19, 84%) and found the educational content (20/20, 100%) and group discussions (17/20, 85%) very useful. The participants used the SMS text messaging chat, particularly when facilitator-moderated. Sustaining participation and fostering group interactions was limited by technological and sociocultural challenges. Conclusions: The intervention was considered generally feasible and acceptable, and protocol adjustments were identified to improve intervention delivery and engagement. To address technological issues, we engaged a cloud-based service provider for group calls and an interactive voice response service provider for educational recordings and developed a smartphone app for the participants. We seek to overcome sociocultural challenges through new strategies for increasing group engagement, including targeting midlevel female community health care providers as moderators. Our second pilot will assess intervention feasibility, acceptability, and preliminary effectiveness at 6 months. Ultimately, we seek to support the health and well-being of postpartum women and their infants in South Asia and beyond through the development of efficient, acceptable, and effective intervention strategies.",10.2196/34087,Health Care Sciences & Services; Medical Informatics,mHealth; group care; postpartum; postnatal; antenatal; India; pilot; mobile phone,3,4,0.75,"Voice conferences,Text",Mobile,3+,"Peer ,Professional"
A Digital Intervention Addressing Alcohol Use Problems (the Daybreak Program): Quasi-Experimental Randomized Controlled Trial,"Tait, RJ; Castro, RP; Kirkman, JJL; Moore, JC; Schaub, MP",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Alcohol use is prevalent in many societies and has major adverse impacts on health, but the availability of effective interventions limits treatment options for those who want assistance in changing their patterns of alcohol use. Objective: This study evaluated the new Daybreak program, which is accessible via mobile app and desktop and was developed by Hello Sunday Morning to support high-risk drinking individuals looking to change their relationship with alcohol. In particular, we compared the effect of adding online coaching via real-time chat messages (intervention group) to an otherwise self-guided program (control group). Methods: We designed the intervention as a randomized control trial, but as some people (n=48; 11.9%) in the control group were able to use the online coaching, the main analysis comprised all participants. We collected online surveys at one-month and three-months follow-up. The primary outcome was change in alcohol risk (measured with the alcohol use disorders identification test-consumption [AUDIT-C] score), but other outcomes included the number of standard drinks per week, alcohol-related days out of role, psychological distress (Kessler-10), and quality of life (EUROHIS-QOL). Markers of engagement with the program included posts to the site and comments on the posts of others. The primary analysis used Weighted Generalized Estimating Equations. Results: We recruited 398 people to the intervention group (50.2%) and 395 people to the control group (49.8%). Most were female (71%) and the mean age was 40.1 years. Most participants were classified as probably dependent (550, 69%) on the AUDIT-10, with 243 (31%) classified with hazardous or harmful consumption. We followed up with 334 (42.1%) participants at one month and 293 (36.9%) at three months. By three months there were significant improvements in AUDIT-C scores (down from mean 9.1 [SD 1.9] to 5.8 [SD 3.1]), alcohol consumed per week (down from mean 37.1 [SD 28.3] to mean 17.5 [SD 18.9]), days out of role (down from mean 1.6 [SD 3.6] to 0.5 [SD 1.6]), quality of life (up from 3.2 [SD 0.7] to 3.6 [SD 0.7]) and reduced distress (down from 24.8 [SD 7.0] to 19.0 [SD 6.6]). Accessing online coaching was not associated with improved outcomes, but engagement with the program (eg, posts and comments on the posts of others) were significantly associated with improvements (eg, in AUDIT-C, alcohol use and EUROHIS-QOL). Reduced alcohol use was found for both probably dependent (estimated marginal mean of 40.8 to 20.1 drinks) and hazardous or harmful alcohol users (estimated marginal mean of 22.9 to 11.9 drinks). Conclusions: Clinically significant reductions in alcohol use were found, as well as reduced alcohol risk (AUDIT-C) and days out of role. Importantly, improved alcohol-related outcomes were found for both hazardous or harmful and probably dependent drinkers. Since October 2016, Daybreak has reached more than 50,000 participants. Therefore, there is the potential for the program to have an impact on alcohol-related problems at a population health level, importantly including an effect on probably dependent drinkers.",10.2196/14967,Health Care Sciences & Services; Medical Informatics,alcohol consumption; internet; intervention study; social marketing; health promotion,3,4,0.75,Text,"Mobile,Monitor",3+,"Professional,Peer "
A Customized Social Network Platform (Kids Helpline Circles) for Delivering Group Counseling to Young People Experiencing Family Discord That Impacts Their Well-Being: Exploratory Study,"Campbell, A; Ridout, B; Amon, K; Navarro, P; Collyer, B; Dalgleish, J",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: It has often been reported that young people are at high risk of mental health concerns, more so than at any other time in development over their life span. The situational factors that young people report as impacting their well-being are not addressed as often: specifically, family discord. Kids Helpline, a national service in Australia that provides free counseling online and by telephone to young people in distress, report that family discord and well-being issues are one of the major concerns reported by clients. In order to meet the preferences that young people seek when accessing counseling support, Kids Helpline has designed and trialed a custom-built social network platform for group counseling of young people experiencing family discord that impacts their well-being. Objective: In this exploratory study, we communicate the findings of Phase 1 of an innovative study in user and online counselor experience. This will lead to an iterative design for a world-first, purpose-built social network that will do the following: (1) increase reach and quality of service by utilizing a digital tool of preference for youth to receive peer-to-peer and counselor-to-peer support in a safe online environment and (2) provide the evidence base to document the best practice for online group counseling in a social network environment. Methods: The study utilized a participatory action research design. Young people aged 13-25 years (N=105) with mild-to-moderate depression or anxiety (not high risk) who contacted Kids Helpline were asked if they would like to trial the social networking site (SNS) for peer-to-peer and counselor-to-peer group support. Subjects were grouped into age cohorts of no more than one year above or below their reported age and assigned to groups of no more than 36 participants, in order to create a community of familiarity around age and problems experienced. Each group entered into an 8-week group counseling support program guided by counselors making regular posts and providing topic-specific content for psychoeducation and discussion. Counselors provided a weekly log of events to researchers; at 2-week intervals, subjects provided qualitative and quantitative feedback through open-ended questions and specific psychometric measures. Results: Qualitative results provided evidence of user support and benefits of the online group counseling environment. Counselors also reported benefits of the modality of therapy delivery. Psychometric scales did not report significance in changes of mood or affect. Counselors and users suggested improvements to the platform to increase user engagement. Conclusions: Phase 1 provided proof of concept for this mode of online counseling delivery. Users and counselors saw value in the model and innovation of the service. Phase 2 will address platform issues with changes to a new social network platform.",10.2196/16176,Health Care Sciences & Services; Medical Informatics,social media; social networking; online counseling; family discord; well-being,3,3,1,Text,Mobile,3+,Professional
The Effectiveness of an App-Based Nurse-Moderated Program for New Mothers With Depression and Parenting Problems (eMums Plus): Pragmatic Randomized Controlled Trial,"Sawyer, A; Kaim, A; Le, HN; McDonald, D; Mittinty, M; Lynch, J; Sawyer, M",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Postnatal depression and caregiving difficulties adversely affect mothers, infants, and later childhood development. In many countries, resources to help mothers and infants are limited. Online group-based nurse-led interventions have the potential to help address this problem by providing large numbers of mothers with access to professional and peer support during the postnatal period. Objective: This study tested the effectiveness of a 4-month online group-based nurse-led intervention delivered when infants were aged 2 to 6 months as compared with standard care outcomes. Methods: The study was a block randomized control trial. Mothers were recruited at the time they were contacted for the postnatal health check offered to all mothers in South Australia. Those who agreed to participate were randomly assigned to the intervention or standard care. The overall response rate was 63.3% (133/210). Primary outcomes were the level of maternal depressive symptoms assessed with the Edinburgh Postnatal Depression Scale (EPDS) and quality of maternal caregiving assessed using the Parenting Stress Index (PSI; competence and attachment subscales), the Parenting Sense of Competence Scale (PSCS), and the Nursing Child Assessment Satellite Training Scale. Assessments were completed at baseline (mean child age 4.9 weeks [SD 1.4]) and again when infants were aged 8 and 12 months. Results: Outcomes were evaluated using linear generalized estimating equations adjusting for postrandomization group differences in demographic characteristics and the outcome score at baseline. There were no significant differences in the intervention and standard care groups in scores on the PSI competence subscale (P=.69) nor in the PSCS (P=.11). Although the group by time interaction suggested there were differences over time between the EPDS and PSI attachment subscale scores in the intervention and standard care groups (P=.001 and P=.04, respectively), these arose largely because the intervention group had stable scores over time whereas the standard care group showed some improvements between baseline and 12 months. Mothers engaged well with the intervention with at least 60% (43/72) of mothers logging-in once per week during the first 11 weeks of the intervention. The majority of mothers also rated the intervention as helpful and user-friendly. Conclusions: Mothers reported that the intervention was helpful, and the app was described as easy to use. As such, it appears that support for mothers during the postnatal period, provided using mobile phone technology, has the potential to be an important addition to existing services. Possible explanations for the lack of differences in outcomes for the 2 groups in this study are the failure of many mothers to use key components of the intervention and residual differences between the intervention and standard care groups post randomization.",10.2196/13689,Health Care Sciences & Services; Medical Informatics,mobile phone; infant; mother-child relations; postnatal depression; randomized controlled trial,3,3,1,Text,Mobile,3+,Professional
"Effects of a smartphone-based videoconferencing program for older nursing home residents on depression, loneliness, and quality of life: a quasi-experimental study","Tsai, HH; Cheng, CY; Shieh, WY; Chang, YC",BMC GERIATRICS,2020,"Background Smartphones can optimize the opportunities for interactions between nursing home residents and their families. However, the effectiveness of smartphone-based videoconferencing programs in enhancing emotional status and quality of life has not been explored. The purpose of this study was to evaluate of the effect of a smartphone-based videoconferencing program on nursing home residents' feelings of loneliness, depressive symptoms and quality of life. Methods This study used a quasi-experimental research design. Older residents from seven nursing homes in Taiwan participated in this study. Nursing homes (NH) were randomly selected as sites for either the intervention group (5 NH) or the control group (2 NH); NH residents who met the inclusion criteria were invited to participate. The intervention group was comprised of 32 participants; the control group was comprised of 30 participants. The intervention group interacted with their family members once a week for 6 months using a smartphone and a LINE application (app). Data were collected with self-report instruments: subjective feelings of loneliness, using the University of California Los Angeles Loneliness Scale; depressive symptoms, using the Geriatric Depression Scale; and quality of life using the SF-36. Data were collected at four time points (baseline, and at 1-month, 3-months and 6-months from baseline). Data were analysed using the generalized estimating equation approach. Results After the intervention, as compared to those in the control group, participants in interventional group had significant decreases in baseline loneliness scores at 1 months (beta = - 3.41, p < 0.001), 3 months (beta = - 5.96, p < 0.001), and 6 months (beta = - 7.50, p < 0.001), and improvements in physical role (beta = 36.49, p = 0.01), vitality (beta = 13.11, p < 0.001) and pain scores (beta = 16.71, p = 0.01) at 6 months. However, changes in mean depression scores did not significantly differ between groups. Conclusions Smartphone-based videoconferencing effectively improved residents' feelings of loneliness, and physiological health, vitality and pain, but not depressive symptoms. Future investigations might evaluate the effectiveness of other media-based technologies in nursing homes as well as their effectiveness within and between different age cohorts.",10.1186/s12877-020-1426-2,Geriatrics & Gerontology,Videoconferencing; Smartphone; Quality of life; Depression; Loneliness,3,4,0.75,Video conference,Mobile,3+,"Professional,Peer "
"Remote group therapies for cognitive health in schizophrenia-spectrum disorders: Feasible, acceptable, engaging","Mendelson, D; Thibaudeau, E; Sauvé, G; Lavigne, KM; Bowie, CR; Menon, M; Woodward, TS; Lepage, M; Raucher-Chene, D",SCHIZOPHRENIA RESEARCH-COGNITION,2022,"Severe cognitive impairments and cognitive distortions are core to schizophrenia-spectrum disorders (SSDs) and are associated with deteriorated social functioning. Despite well-established efficacy of group psychosocial therapies targeting cognitive health in SSDs, dissemination of these programs remains limited. Remote delivery offers a promising strategy for increasing the programs' accessibility. Yet, little research has evaluated group therapies for cognitive health delivered in this way. Thus, we aimed to assess, from participants' and therapists' perspectives, the feasibility, acceptability, as well as levels and process of engagement in a videoconference delivery of group psychosocial therapies for SSD patients' cognitive health. Participants, outpatients, attended Action Based Cognitive Remediation or Metacognitive Training, both adapted for videoconference. Then, participants and therapists completed post-therapy questionnaires. Of the 28 participants attending at least one session, 75% completed more than half of sessions and seven dropped out. Technology did not appear to significantly hinder participation in the programs. All completing participants reported a positive experience with therapy, 67% were not bothered by the distance from the therapist, and 77% trusted that the information shared was kept confidential. Therapist-rated levels of attention M = 7.5/9 (SD = 1.04), participation M = 6.91/9 (SD = 1.32), and social interactions M = 5.31/9 (SD = 1.96) were satisfactory. Nonetheless, participants indicated that they would have appreciated more social interactions with group members. These positive results validate the earliest stage in the implementation process for remote group therapies targeting cognitive health in SSDs. Remote delivery promises to improve access to therapies targeting cognitive health and, ultimately, facilitate functional recovery for SSD patients.",10.1016/j.scog.2021.100230,Psychiatry; Psychology,Cognitive remediation; Psychosis; Metacognition; Videoconferencing; Digital mental health; Digital implementation,3,4,0.75,Video conference,"Monitor,Mobile",3+,Professional
"Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ","Ali, K; Fassnacht, DB; Farrer, LM; Rieger, E; Moessner, M; Bauer, S; Griffiths, KM",JOURNAL OF EATING DISORDERS,2022,"Background: Growing evidence supports the effectiveness of Internet-based prevention programs for eating disorders, but the adjunctive benefit of synchronous peer support has yet to be investigated. In the current study, a randomised controlled trial was conducted to evaluate the effectiveness of an indicated Internet-based prevention program (ProYouth OZ) with and without peer-to-peer support in reducing disordered eating behaviours and attitudes. Method: Fifty young adults (18-25 years) with eating disorder symptoms were randomised to one of three study conditions: (1) ProYouth OZ (without peer-to-peer support), (2) ProYouth OZ Peers (with peer-to-peer support), and (3) a waitlist control group. Outcomes were assessed at three different time points. Eating disorder symptoms (primary outcome) were measured with the Eating Disorder Examination Questionnaire. Results: Of 415 screened participants, 73 (17.6%) were eligible and 213 (51.3%) excluded due to severe eating disorder symptoms. Fifteen participants (30%) completed the post-intervention survey. Of the two intervention groups, 20.6% failed to access any component of the program. Of 17 ProYouth OZ Peers participants, 58.8% attended at least one chat session, 20% attended 2-5 sessions, and 11.8% attended all six sessions. Due to limited outcome data, it was not possible to statistically examine between-group differences in outcomes. Visual inspection of individual profiles revealed that both ProYouth OZ Peers participants who completed the post-intervention survey showed a decrease in disordered eating compared with only one of the six completers in ProYouth OZ. Conclusion: Findings highlight the challenges of trialling Internet-based eating disorder prevention programs in the community. The study identified a large group of emerging adults with eating disorders who were interested in an Internet-based program, suggesting a high level of unmet need. Future research on synchronous peer-to-peer support in Internet-based prevention for eating disorders is warranted. Further studies are required to identify optimal strategies for reaching this population (e.g., online vs. offline) and evaluating the effectiveness of a range of strategies for promoting engagement. Finally, there is an urgent need to develop innovative widely accessible interventions for individuals who experience clinically relevant eating disorder symptomatology but may not be ready or able to seek professional face-to-face treatment.",10.1186/s40337-021-00520-7,Psychology; Nutrition & Dietetics; Psychiatry,Online intervention; Peer support; Mental health; Barriers; Stigma; Eating disorder literacy; Help-seeking; Body image; Digital health,3,3,1,Text,Monitor,3+,"Peer "
Evaluation of a Technology-Based Peer-Support Intervention Program for Preventing Postnatal Depression (Part 2): Qualitative Study,"Shorey, S; Ng, ED",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Social support is known to reduce risks of postnatal depression (PND) and improve maternal emotional well-being. However, the Asian cultural context is often neglected when appraising maternal needs and mothers' preferences for social support. While many preventive efforts have experimented with technology, professionals, and paraprofessionals in providing social support to mothers in need, most studies determined the effectiveness of their interventions through quantitative measurements of maternal outcomes. Experiences and feedback from both participants and administrators are rarely discussed, especially in an Asian setting. Objective: The goal of the research was to evaluate the postnatal experiences of Asian mothers at risk of PND and the perceptions of peer volunteers regarding a technology-based peer-support intervention program (PIP). Methods: A qualitative semistructured interview was conducted with 20 Asian mothers at risk of depression (10 from the control group and 10 from the intervention group) and 19 peer volunteers from a randomized controlled trial. The PIP included weekly correspondence between peer volunteers and mothers through any telecommunication means over 4 weeks. All interviews were approximately 30 to 60 minutes long, audiotaped, transcribed verbatim, and analyzed using thematic analysis. Study findings were reported according to the Consolidated Standards of Reporting Trials checklist. Results: Two overarching themes comprising five subthemes were generated: postnatal experience (a bouncy ride, a way forward) and evaluation of the PIP (valuable, flexible, and supportive program; building blocks of a good relationship; and lessons learned and the road ahead). Mothers from both the control and interventions groups were generally satisfied with hospital care and the support received from family. They also shared similar breastfeeding challenges and needs for more informed decisions and follow-up support from the hospital. However, mothers who received the PIP tended to have more positive outlooks of their birth experiences. Overall, peer volunteers and mothers involved in the PIP found the PIP useful and expressed satisfaction with the program's flexibility. They also shared their personal takeaways, the qualities of their friendships, and the need for extended correspondence time and recommended outreach to non-at-risk mothers. Conclusions: The positive endorsement of the PIP by peer volunteers and mothers suggests the success of the PIP in maintaining positive maternal emotional well-being during the postpartum period. With the help of technology, hospitals can easily provide additional peer support to at-risk mothers in addition to existing standard care offered to these mothers.",10.2196/12915,Health Care Sciences & Services; Medical Informatics,depression; mothers; postpartum; qualitative; social support; telecommunication; digital health; peer support; peer-to-peer support; online support groups; internet,3,4,0.75,"Text,Voice conferences",Mobile,2,"Peer "
"A pilot study of virtual support for grief: Feasibility, acceptability, and preliminary outcomes","Knowles, LM; Stelzer, EM; Jovel, KS; O'Connor, MF",COMPUTERS IN HUMAN BEHAVIOR,2017,"Social support and grief education can ameliorate mental and physical health risks in widow(er)s. However, barriers often prevent older individuals from attending support groups. This controlled pilot study examined the feasibility and acceptability of an online, real-time, interactive virtual reality (VR) support group for widow(er)s, and assessed the preliminary efficacy of the VR support group for improving psychosocial outcomes and sleep quality compared to an active control grief education website. Thirty widow(er)s (M-age = 67.0, SD = 11.0) participated in an 8-week VR support group or accessed a grief education website. Participants completed self-report measures of depression, grief intensity, grief cognitions, yearning, loneliness, perceived stress and sleep quality at three time points. Participant attrition and self-report indicated that both interventions were feasible and acceptable. Both groups showed significant improvements in grief severity, grief cognitions, yearning, loneliness, perceived stress, and global sleep quality across study time points. However, only widow(er)s in the VR support group showed a significant improvement in depression across time. This study demonstrates the feasibility, acceptability and preliminary efficacy of an accessible and low-cost online support format for widow(er)s. (C) 2017 Elsevier Ltd. All rights reserved.",10.1016/j.chb.2017.04.005,Psychology,Support group; Virtual world; Web-based; Avatar; Grief; Spousal loss,3,3,1,"Text,Virtual World",Virtual reality,3+,Professional
Combining online and offline peer support groups in community mental health care settings: a qualitative study of service users' experiences,"Strand, M; Eng, LS; Gammon, D",INTERNATIONAL JOURNAL OF MENTAL HEALTH SYSTEMS,2020,"Background Peer support for people with long-term mental health problems is central to recovery-oriented approaches in mental health care. Peer support has traditionally been conducted offline in face-to-face groups, while online groups on the Internet have increased rapidly. Offline and online peer support groups are shown to have differing strengths and weaknesses. However, little is known about how combining the two formats might be experienced by service users, which this paper aims to illuminate. Methods In this exploratory and descriptive study, a recovery-oriented Internet-based portal called ReConnect was used by service users in two mental health communities in Norway for 6-12 months. The portal included an online peer support group which also facilitated participation in local offline peer support groups. Both group formats were moderated by an employed service user consultant. Qualitative data about service users' experiences were collected through focus groups and individual interviews and inductively analyzed thematically. Results A total of 14 female service users 22-67 years of age with various diagnoses participated in three focus groups and 10 individual interviews. Two main themes were identified: (1) balancing anonymity and openness, and (2) enabling connectedness. These themes are further illustrated with the subthemes: (i) dilemmas of anonymity and confidentiality, (ii) towards self-disclosure and openness, (iii) new friendships, and (iv) networks in the local community. Three of the subthemes mainly describe benefits, while challenges were more implicit and cut across the subthemes. Identified challenges were related to transitions from anonymity online to revealing one's identity offline, confidentiality, and barriers related to participation in offline peer support groups. Conclusions This study suggests that online and offline peer support groups complement each other, and that combining them is mainly described as beneficial by service users. Identified benefits appeared to arise from service users' options of one format or the other, or that they could combine formats in ways that suited their individual values and comfort zones. Moderation by a trained service user consultant appeared essential for both formats and can be used systematically to address identified challenges. Combining online and offline peer support groups is a promising concept for facilitating recovery-oriented care and warrants continued research.",10.1186/s13033-020-00370-x,Psychiatry,eHealth; Mental health; Recovery; e-Recovery; Peer support; Social support; Qualitative research; Participatory research,3,3,1,Text,Monitor,3+,"Peer "
Sharing Lived Experience: Describing a Virtual Counselor-Facilitated LGBTQ plus Support Group for Disordered Eating,"Brownstone, LM; Hunsicker, MJ; Palazzolo, LPA; Dinneen, JL; Kelly, DA; Stennes, J; Scanga, S",PSYCHOLOGY OF SEXUAL ORIENTATION AND GENDER DIVERSITY,2023,"A growing body of literature has highlighted the disproportionate impact of disordered eating on sexual and gender minority (SGM) individuals. As such, specialized and affirming treatment is needed for SGM individuals with disordered eating, and research is needed to better understand what this treatment should include. The current study investigates a rolling, open, counselor-facilitated, free, virtual support group for SGM individuals with disordered eating to better understand support and healing processes, which in turn could be applied or expanded upon in other treatment settings. Participants were 27 SGM adults. All participants completed online surveys, and some (15/27) also completed semistructured focus groups about their experiences in the support group to reflect on shared meaning created within the group and ways that the counselor-facilitated support group fostered learning and healing related to disordered eating, mental health recovery, gender, and sexual identity. Inductive reflexive thematic analysis yielded the following themes: (a) community building and safety, (b) a crucially important space, (c) intersectional healing and insight, (d) seeing futures and building hope, and (e) ripple effects. Results indicate the power of alternative support spaces for disordered eating recovery among SGM individuals and illuminate potential directions for queer-affirming disordered eating treatment. Results also indicate a major gap in existing treatment for SGM individuals in need of disordered eating support.",10.1037/sgd0000660,Psychology,LGBTQ; sexual and gender minorities; group psychotherapy; eating disorders; mental health access,3,3,1,Video conference,Not specified,3+,"Peer ,Professional"
"Effectiveness of Internet-Based Cognitive Behavioral Therapy in Weight Loss, Stress, Anxiety, and Depression via Virtual Group Therapy","Abedishargh, N; Farani, AR; Gharraee, B; Farahani, H",IRANIAN JOURNAL OF PSYCHIATRY AND BEHAVIORAL SCIENCES,2021,"Background: The obesity crisis is one of the major public health issues in the 21st century, and depression, anxiety, and stress are the psychological factors that mediate obesity. Objectives: This research was conducted to evaluate the effectiveness of Internet-based cognitive-behavioral therapy (ICBT) in reducing body mass index (BMI), stress, anxiety, and depression in overweight women via a virtual group. Methods: This randomized controlled trial study was conducted on three groups of the experiment, the waiting list, and the treatment-as-usual. It was done as single-phase, single-center, and double-blinded. The statistical population included all women with BMI >= 25 in Neyshabur city in 2019 - 2020. The research sample included 90 subjects randomly assigned to the groups. The therapeutic intervention was applied in the form of 42 ICBT sessions using a virtual WhatsApp group. The participants completed the Depression Anxiety Stress Scale (DASS), and their BMI was also calculated before and after the sessions. Results: The analysis of covariance indicated the significant effect of ICBT on the reduction of BMI compared to the usual treatment group and waiting list group [F (72, 2) = 15.54, P < 0.0005; Partial eta 2 = 0.30]. However, it was not significant on the reduction of stress [F (72, 2) = 0.47, P = 0.63; Partial eta 2 = 0.01], anxiety [F (72, 2) = 0.49, P = 0.61; Partial eta 2 = 0.01], and depression [F (72, 2) = 0.06, P = 0.93; Partial eta 2 = 0.002]. Conclusions: The present study showed the direct effect of ICBT on the reduction of BMI like the treatment-as-usual for obesity. However, these sessions could not reduce the participants' stress, anxiety, and depression.",10.5812/ijpbs.113096,Psychiatry,Internet-based Intervention; Cognitive-Behavioral Therapy; Weight Loss; Obesity; Body Mass Index; Stress; Anxiety; Depression,3,4,0.75,"Video conference,Voice conferences",Mobile,3+,"Professional,Peer "
"Intraindividual, Dyadic, and Network Communication in a Digital Health Intervention: Distinguishing Message Exposure from Message Production","Mi, RRZ; Kornfield, R; Shah, DV; Maus, A; Gustafson, DH",HEALTH COMMUNICATION,2022,"Communicating within digital health interventions involves a range of behaviors that may contribute to the management of chronic illnesses in different ways. This study examines whether communication within a smartphone-based application for addiction recovery produces distinct effects depending on 1) the level of communication, defined as intraindividual communication (e.g., journal entries to oneself); dyadic communication (e.g., private messaging to other individuals); or network communication (e.g., discussion forum posts to all group members), and 2) whether individuals produce or are exposed to messages. We operationalize these communication levels and behaviors based on system use logs as the number of clicks dedicated to each activity and assess how each category of system use relates to changes in group bonding and substance use after 6 months with the mobile intervention. Our findings show that (1) intraindividual exposure to one's own past posts marginally predicts decreased drug use; (2) dyadic production predicts greater perceived bonding; while dyadic exposure marginally predicts reduced drug use; (3) network production predicts decreased risky drinking. Implications for digital health interventions are discussed.",10.1080/10410236.2020.1846273,Communication; Health Care Sciences & Services,NA,3,3,1,Text,Mobile,"3+,2","Peer "
